,hashtags,symbols,user_mentions,urls,media
52,[],[],"[{'screen_name': 'Nate9513', 'name': 'nate9513 #cf97 🧢', 'id': 1340984605, 'id_str': '1340984605', 'indices': [0, 9]}]",[],
53,[],[],[],[],
54,[],[],[],[],"[{'id': 1354098770972192774, 'id_str': '1354098770972192774', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/Esq5qGqXMAYUdU2.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Esq5qGqXMAYUdU2.jpg', 'url': 'https://t.co/uwouyykWt2', 'display_url': 'pic.twitter.com/uwouyykWt2', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1354098875624280064/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1049, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 595, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1121, 'h': 1282, 'resize': 'fit'}}}]"
55,[],[],"[{'screen_name': 'meninred97', 'name': 'Herbers is better than Messi change my mind', 'id': 3184686661, 'id_str': '3184686661', 'indices': [0, 11]}]",[],"[{'id': 1353806332084805633, 'id_str': '1353806332084805633', 'indices': [12, 35], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Esmvr66W4AEyh89.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Esmvr66W4AEyh89.jpg', 'url': 'https://t.co/7qfv08Ev5N', 'display_url': 'pic.twitter.com/7qfv08Ev5N', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1353806337961062403/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 480, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 480, 'h': 480, 'resize': 'fit'}, 'large': {'w': 480, 'h': 480, 'resize': 'fit'}}}]"
56,[],[],[],[],
57,[],[],[],[],
58,[],[],[],[],
59,[],[],[],[],
60,[],[],"[{'screen_name': 'littleRbigE', 'name': 'rEvolution', 'id': 33576269, 'id_str': '33576269', 'indices': [119, 131]}]",[],
61,[],[],"[{'screen_name': 'TheAthleticSCCR', 'name': 'The Athletic Soccer', 'id': 991451824442912768, 'id_str': '991451824442912768', 'indices': [55, 71]}]","[{'url': 'https://t.co/3F6QgSTly7', 'expanded_url': 'https://theathletic.com/2337146/2021/01/21/chicago-fire-duran-mls/', 'display_url': 'theathletic.com/2337146/2021/0…', 'indices': [98, 121]}]",
